timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712386027871,1181,HTTP Request,200,OK,Thread Group 1-1,text,true,,80254,330,1,1,https://www.google.com/search?q=webload&oq=webload&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORiABDIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDINCAYQLhivARjHARiABDIHCAcQABiABDIJCAgQABgKGIAEMgcICRAAGIAEqAIIsAIB&sourceid=chrome&ie=UTF-8,679,0,196
1712386027820,1181,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,80254,330,1,1,null,679,74,196
